player_id,name,position,projected_points,adp
0039363,Isaac Guerendo,RB,6.092121776949363,310.0
0039359,Cade Stover,TE,4.016258941344779,313.5
0038612,A.T. Perry,WR,7.575,314.0
0033891,Zay Jones,WR,11.737037037037036,314.5
0032950,Carson Wentz,QB,18.991111111111113,315.5
0036345,K.J. Osborn,WR,8.836363636363638,315.5
0026158,Joe Flacco,QB,19.55090909090909,317.5
0037304,Connor Heyward,TE,3.85,320.0
0039824,Jared Wiley,TE,3.9165780196198656,320.5
0036556,Brevin Jordan,TE,4.615,326.0
0031345,Jimmy Garoppolo,QB,15.493333333333332,328.5
0036754,Brock Wright,TE,4.345454545454546,331.5
0038567,Chad Ryland,K,4.4375,332.0
0037013,Zach Wilson,QB,12.040952380952382,332.5
0039847,Theo Johnson,TE,4.415314085056575,333.0
0033307,Kendrick Bourne,WR,7.970833333333334,334.0
0034279,Equanimeous St. Brown,WR,3.519047619047619,334.5
0034450,Greg Joseph,K,6.914285714285715,334.5
0033943,Josh Reynolds,WR,8.383870967741936,334.5
0038476,Tommy DeVito,QB,12.171111111111111,343.5
0038941,Tyler Scott,WR,2.761538461538462,349.0
0037012,Trey Lance,QB,6.23,357.5
0023853,Matt Prater,K,7.586206896551724,217.0
0033662,Cooper Rush,QB,4.66,359.0
0039376,Spencer Rattler,QB,11.516137267759564,361.0
0035249,Josh Oliver,TE,3.952,363.0
0035045,D.J. Montgomery,WR,7.300000000000001,364.0
0035973,Patrick Taylor,RB,2.4266666666666667,364.5
0039041,Elijah Higgins,TE,4.033333333333333,365.0
0039236,Johnny Wilson,WR,3.412530120481927,367.0
0039074,Davis Allen,TE,6.0600000000000005,367.0
0033217,Mo Alie-Cox,TE,3.814814814814815,368.5
0035358,Chase McLaughlin,K,8.5,237.0
0039684,Michael Wiley,RB,3.32198275862069,238.0
0033589,David Moore,WR,4.6375,371.0
0025565,Nick Folk,K,7.823529411764706,242.0
0037614,John Metchie III,WR,2.7,371.5
0030431,Robert Woods,WR,6.584375,373.0
0039238,Michael Pratt,QB,0.7140000000000003,522.0
0038152,Lucas Havrisik,K,6.888888888888889,399.0
0038416,Tyson Bagent,QB,11.852,380.0
0036422,Adam Trautman,TE,3.753571428571429,381.0
0038720,Julian Hill,TE,1.4666666666666668,382.0
0038598,Jaren Hall,QB,0.706666666666667,510.5
0039796,Rasheen Ali,RB,3.631216931216931,382.5
0034115,Jeff Wilson,RB,8.074074074074074,384.5
0039437,Cornelius Johnson,WR,0.8200000000000001,269.0
0039801,Devin Leary,QB,2.5809221311475414,583.5
0038647,Ronnie Bell,WR,3.85,386.0
0034613,Tanner Hudson,TE,5.7444444444444445,387.5
0039230,Dante Miller,RB,3.32198275862069,536.0
0039397,Tejhaun Palmer,WR,3.181701807228916,276.0
0037091,Bo Melton,WR,9.916666666666666,389.0
0032392,Austin Hooper,TE,4.418181818181819,389.5
0034646,Brandon Powell,WR,4.024137931034483,389.5
0038573,Derius Davis,WR,2.2642857142857147,520.5
0037429,Raheem Blackshear,RB,3.45,410.5
